symbol,nganh,ghi_chu
EIB,Ngân hàng,X
LPB,Ngân hàng,X
MBB,Ngân hàng,X
SHB,Ngân hàng,
STB,Ngân hàng,
SHS,CK,
VCI,CK,
VIX,CK,
VND,CK,
SMC,Thép,
TDH,BDS,
D2D,BDS KCN,X
C69,Xây dựng,
C92,Xây dựng,X
DPG,Xây dựng,
HAH,Vận tải,
HVN,Vận tải,
VSC,Vận tải,X
BFC,Hóa chất,
DDV,Hóa chất,
LAS,Hóa chất,
BMI,Bảo hiểm,
FCN,Đầu tư công,
VCG,Đầu tư công,
BMP,Nhựa,
NTP,Nhựa,
FOX,Công nghệ,
BAF,Nông nghiệp,
HAG,Nông nghiệp,
NAF,Nông nghiệp,
TSC,Nông nghiệp,
GEG,Năng lượng,
PPC,Năng lượng,
QTP,Năng lượng,
POW,Năng lượng,
QNS,Đường,X
SBT,Đường,
